date_today,age_years,weight_kg_today,sleep_score_today,sleep_hours_today,sleep_efficiency_pct_today,resting_hr_bpm_today,hrv_ms_today,body_battery_today,stress_score_today,soreness_score_today,vo2max_est_today,respiration_rate_sleep_today,spo2_avg_pct_today,hydration_l_today,yesterday_activity_type,yesterday_duration_min,yesterday_distance_km,yesterday_avg_hr_bpm,yesterday_max_hr_bpm,yesterday_training_rpe,yesterday_training_load,yesterday_steps,yesterday_calories_burned,acute_load_3d,rolling_load_7d,recovery_signal,readiness_score_today,suggested_activity_today,actual_activity_type_today,actual_duration_min_today
2024-01-02,30,96.9,81,6.29,75.4,55,36,85,53,7,44.1,15.1,97.3,2.65,Weightlifting,47,0.0,101,153,7,373,7199,2657,,,67,67,Easy Run,Intermediate Run,38
2024-01-03,30,96.9,81,6.11,87.8,56,49,55,64,4,44.1,15.7,97.5,2.44,Intermediate Run,38,5.21,151,180,5,239,9809,2646,,,65,65,Weightlifting,Weightlifting,45
2024-01-04,30,96.7,80,6.04,76.2,59,28,69,59,7,44.1,16.2,97.6,3.36,Weightlifting,45,0.0,108,143,9,487,8963,2775,366.3,,60,49,Recovery Walk,Tempo Run,55
2024-01-05,30,97.0,64,6.18,77.6,56,49,67,61,8,44.0,15.3,97.3,3.03,Tempo Run,55,8.14,156,177,8,568,12372,3463,431.3,,60,43,Rest / Mobility,Easy Run,54
2024-01-06,30,97.2,83,7.14,78.9,59,26,66,60,9,44.0,15.2,96.9,2.97,Easy Run,54,7.25,139,162,5,255,13767,2493,436.7,,59,46,Rest / Mobility,Recovery Ride,56
2024-01-07,30,97.1,79,6.74,83.3,58,39,51,61,7,44.0,15.5,96.4,2.9,Recovery Ride,56,14.97,130,149,4,237,9624,2866,353.3,,60,54,Recovery Walk,Rest / Mobility,21
2024-01-08,30,97.1,96,6.88,90.7,57,49,64,50,5,43.9,15.1,97.4,3.76,Rest / Mobility,21,0.0,86,106,1,22,6322,2347,171.3,311.6,71,72,Intermediate Run,Weightlifting,45
2024-01-09,30,97.1,86,6.88,74.0,56,47,93,49,7,43.8,15.4,96.3,3.18,Weightlifting,45,0.0,118,156,9,527,10696,3079,262.0,333.6,72,61,Easy Run,Intermediate Run,46
2024-01-10,30,96.9,81,7.29,74.6,60,32,69,68,4,43.7,15.8,97.5,2.96,Intermediate Run,46,6.12,148,170,5,296,11778,2678,281.7,341.7,63,55,Recovery Walk,Easy Run,37
2024-01-11,30,97.0,81,6.69,81.7,58,48,62,71,7,43.8,15.8,96.7,2.73,Easy Run,37,5.03,138,160,5,201,11071,2675,341.3,300.9,62,53,Recovery Walk,Intermediate Run,46
2024-01-12,30,97.0,92,6.67,82.6,58,36,67,52,7,43.9,15.8,97.5,3.02,Intermediate Run,46,5.71,148,172,7,432,10225,3026,309.7,281.4,66,58,Weightlifting,Weightlifting,50
2024-01-13,30,97.2,74,7.03,74.2,60,41,69,62,8,43.9,14.8,96.9,2.85,Weightlifting,50,0.0,119,170,6,325,9432,3168,319.3,291.4,60,47,Rest / Mobility,Intermediate Run,55
